//unidirectional edges//
50 1200
20 0 25
26 1 23
13 2 3
6 3 7
46 4 15
18 5 2
10 6 13
44 7 21
18 8 3
42 9 9
15 10 23
8 11 10
13 12 5
19 13 17
24 15 21
42 16 11
2 17 19
2 18 22
26 19 17
35 20 19
14 21 7
32 22 2
2 23 15
49 24 20
13 25 25
14 26 9
26 27 2
35 28 11
46 29 16
36 30 22
24 31 25
13 32 15
15 33 21
49 34 2
26 35 22
23 36 23
42 37 9
47 38 18
46 39 17
23 40 21
19 41 19
12 42 5
26 43 2
29 44 3
10 45 11
35 46 19
41 47 18
35 48 4
35 49 3
1 9 2
31 35 23
44 42 24
19 6 25
43 37 11
22 6 5
47 22 5
38 12 12
31 22 24
30 45 23
15 16 5
6 28 2
45 13 22
48 29 14
36 39 25
19 14 10
23 22 11
29 6 5
21 17 25
16 18 4
16 28 20
47 29 24
9 44 2
1 48 18
7 39 18
37 28 8
9 22 19
23 25 13
48 15 17
15 8 14
9 28 19
49 8 9
18 9 2
13 16 3
17 22 9
8 37 22
47 32 8
21 40 18
43 15 8
33 40 11
46 43 20
46 26 7
16 45 18
17 4 17
37 16 24
30 34 3
27 1 9
5 22 16
48 5 9
21 3 23
44 16 3
34 37 2
27 9 2
44 41 4
35 8 4
37 27 2
33 7 19
27 2 19
10 32 9
5 30 4
45 11 16
41 16 12
3 2 3
44 40 12
37 45 7
13 44 2
8 40 8
20 40 2
46 17 5
8 9 6
49 39 19
31 44 21
39 41 6
49 14 25
29 13 3
16 33 15
38 15 7
23 14 2
4 27 22
28 30 11
23 19 12
25 4 16
25 43 21
0 9 15
9 46 18
17 47 22
29 49 20
48 47 7
45 17 18
7 24 20
15 14 9
16 14 15
12 14 11
23 4 15
20 33 17
43 41 5
27 45 3
39 4 14
4 13 14
33 11 6
49 44 18
17 0 7
48 20 11
0 26 18
17 32 2
31 13 5
2 6 18
17 1 14
22 30 15
30 16 21
13 6 14
10 31 15
32 29 7
48 4 18
44 3 21
8 46 13
11 7 7
43 34 19
5 35 25
41 33 20
18 45 12
41 1 14
40 22 21
48 31 3
11 37 14
32 0 15
9 3 22
42 49 4
10 18 23
6 27 14
24 25 7
48 40 11
16 2 12
39 42 15
33 12 12
10 47 6
18 42 21
25 33 6
40 39 4
17 44 24
